run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
5,1,"2023-12-11 17:50:24.951","2023-12-11 17:57:50.958",446,83.21970417877432,1.0628669952920244e34,-1.1961907914229575e33,-7.42688269328939e32,524.0955371159453,154,771,1319.4411302982733,1233,1377,1672.9793675712042,1327,9879,502.46243552366,197,850,169,645,15,15,56,NoNose,1
5,2,"2023-12-11 17:57:50.960","2023-12-11 18:02:56.350",305,83.035144121515,1.3972743564879488e27,1.2742683997708653e31,-1.5408510637975779e26,450.6523731587561,107,625,1309.488379705401,1243,1360,1796.0242225859247,1296,9690,591.8052373158756,338,887,168,647,15,15,55,NoNose,1
5,3,"2023-12-11 18:02:56.619","2023-12-11 18:08:05.958",309,85.06015861799858,-6.264285150248835e34,1.1726463237357841e31,-6.882132669636775e34,437.23521809369953,49,682,1307.5486268174475,1243,1376,1802.2445880452342,1304,9947,608.6898222940226,336,973,169,648,15,15,56,NoNose,1
5,4,"2023-12-11 18:08:05.960","2023-12-11 18:13:00.740",294,85.93548882268603,-2.888884141434389e34,2.7093019510880544e34,-1.594449066999717e33,438.8257036283486,93,655,1308.690403526619,1239,1370,1808.5113597829773,1308,9477,611.6052899287894,338,997,169,648,15,16,56,NoNose,1
5,5,"2023-12-11 18:13:01.023","2023-12-11 18:18:01.042",300,87.017312860273,-8.141852584580775e34,-7.231471024001832e34,-1.5487480509514783e33,438.0755910755911,128,650,1310.2017982017983,1224,1378,1837.5361305361305,1317,9769,614.3856143856144,355,917,168,704,15,15,56,NoNose,1
5,6,"2023-12-11 18:18:01.154","2023-12-11 18:22:55.647",294,87.71077228598085,2.0313688011535336e34,-5.057705409004385e34,-9.029263238312933e32,442.11575016972165,140,645,1311.0376782077394,1243,1365,1832.7773251866938,1325,9873,609.3584521384929,337,881,169,647,15,16,56,NoNose,1
5,7,"2023-12-11 18:22:55.741","2023-12-11 18:27:50.344",294,88.11240319832905,-3.176713956568978e31,-5.214117125488293e34,-9.007319139025789e32,434.27553444180523,111,657,1310.7366813708857,1218,1362,1838.2986087546658,1313,9880,604.8971835765185,332,860,169,645,15,15,55,NoNose,1
5,8,"2023-12-11 18:27:50.438","2023-12-11 18:32:45.853",295,88.42688613721756,3.2970096654619374e33,8.413130003248562e28,1.0057894981882844e25,436.9508973924822,141,592,1310.2421266508636,1254,1354,1833.8107009820521,1312,9905,605.3051134439553,315,890,169,647,15,15,55,NoNose,1
5,9,"2023-12-11 18:32:45.857","2023-12-11 18:37:40.949",295,88.68066823213178,-1.0737557758211987e31,1.965219776480544e32,5.559479190551982e33,443.6779546224179,67,638,1310.1872671859126,1242,1370,1840.5130375888928,1311,9777,602.9319336268202,333,912,168,646,14,15,55,NoNose,1
5,10,"2023-12-11 18:37:41.042","2023-12-11 18:43:37.933",356,89.10728075123446,4.4831398199382344e33,-1.487586318274022e33,-1.454659841580325e31,443.40739702998036,130,629,1312.0546371532641,1249,1383,1735.924068366489,1293,9783,605.2673017652004,302,901,168,648,15,15,149,NoNose,1
